game_id,game_date,player_id,player_name,team_id,opponent_team_id,home_flag,points,minutes,fga
G001,2024-01-03,23,LeBron James,1610612747,1610612756,1,25,35,18
G002,2024-01-05,23,LeBron James,1610612747,1610612744,0,28,37,20
G003,2024-01-08,23,LeBron James,1610612747,1610612743,1,22,34,17
G004,2024-01-11,23,LeBron James,1610612747,1610612742,0,31,38,21
G005,2024-01-14,23,LeBron James,1610612747,1610612760,1,19,33,15
G006,2024-01-17,23,LeBron James,1610612747,1610612758,0,34,39,24
G007,2024-01-04,30,Stephen Curry,1610612744,1610612757,1,27,34,19
G008,2024-01-07,30,Stephen Curry,1610612744,1610612758,0,35,36,23
G009,2024-01-10,30,Stephen Curry,1610612744,1610612741,1,18,32,14
G010,2024-01-13,30,Stephen Curry,1610612744,1610612749,0,29,35,20
G011,2024-01-16,30,Stephen Curry,1610612744,1610612762,1,33,37,22
G012,2024-01-19,30,Stephen Curry,1610612744,1610612756,0,21,31,16
G013,2024-01-02,15,Nikola Jokic,1610612743,1610612762,1,26,36,17
G014,2024-01-06,15,Nikola Jokic,1610612743,1610612749,0,30,37,18
G015,2024-01-09,15,Nikola Jokic,1610612743,1610612748,1,24,35,16
G016,2024-01-12,15,Nikola Jokic,1610612743,1610612751,0,32,38,19
G017,2024-01-15,15,Nikola Jokic,1610612743,1610612759,1,20,34,14
G018,2024-01-18,15,Nikola Jokic,1610612743,1610612746,0,27,36,17
